"alongRailUnitCd","alongRailUnitOrdr","lareaCd","alongRailCd","alongRailNm","alongRailOrdr"
44601,1,446,0,ＪＲ吉都線,1
44501,1,445,0,ＪＲ吉都線,1
44401,1,444,1,ＪＲ久大本線,2
44001,1,440,1,ＪＲ久大本線,2
44501,1,445,2,ＪＲ宮崎空港線,3
44001,1,440,3,ＪＲ後藤寺線,4
44001,1,440,5,ＪＲ香椎線,5
44201,1,442,6,ＪＲ佐世保線,6
44101,1,441,6,ＪＲ佐世保線,6
44301,1,443,7,ＪＲ三角線,7
44601,1,446,9,ＪＲ指宿枕崎線,8
44601,1,446,10,ＪＲ鹿児島本線,9
44301,1,443,10,ＪＲ鹿児島本線,9
44001,1,440,10,ＪＲ鹿児島本線,9
44101,1,441,10,ＪＲ鹿児島本線,9
44001,1,440,13,ＪＲ篠栗線,10
44201,1,442,14,ＪＲ大村線,11
44101,1,441,16,ＪＲ筑肥線,12
44001,1,440,16,ＪＲ筑肥線,12
44001,1,440,18,ＪＲ筑豊本線（福北ゆたか線）,13
44201,1,442,19,ＪＲ長崎本線,14
44101,1,441,19,ＪＲ長崎本線,14
44101,1,441,21,ＪＲ唐津線,15
44401,1,444,22,ＪＲ日田彦山線,16
44001,1,440,22,ＪＲ日田彦山線,16
44601,1,446,23,ＪＲ日南線,17
44501,1,445,23,ＪＲ日南線,17
44601,1,446,25,ＪＲ日豊本線,18
44501,1,445,25,ＪＲ日豊本線,18
44401,1,444,25,ＪＲ日豊本線,18
44001,1,440,25,ＪＲ日豊本線,18
44601,1,446,26,ＪＲ肥薩線,19
44501,1,445,26,ＪＲ肥薩線,19
44301,1,443,26,ＪＲ肥薩線,19
44401,1,444,27,ＪＲ豊肥本線,20
44301,1,443,27,ＪＲ豊肥本線,20
13801,1,138,28,ＪＲ高徳線,22
13601,1,136,28,ＪＲ高徳線,22
13901,1,139,29,ＪＲ土讃線,23
13601,1,136,29,ＪＲ土讃線,23
13801,1,138,29,ＪＲ土讃線,23
13801,1,138,30,ＪＲ徳島線,24
13701,1,137,31,ＪＲ内子線,25
13801,1,138,32,ＪＲ牟岐線,26
13801,1,138,33,ＪＲ鳴門線,27
13701,1,137,35,ＪＲ予讃線,28
13601,1,136,35,ＪＲ予讃線,28
13901,1,139,38,ＪＲ予土線,29
13701,1,137,38,ＪＲ予土線,29
13301,1,133,40,ＪＲ因美線,31
13201,1,132,40,ＪＲ因美線,31
13501,1,135,41,ＪＲ宇部線,32
13201,1,132,42,ＪＲ宇野線,33
12401,1,124,43,ＪＲ越美北線,34
13101,1,131,45,ＪＲ可部線,35
13501,1,135,50,ＪＲ岩徳線,36
