"lareaCd","alongRailCd","stnUnitCd","stnUnitNm","stnUnitNmHrgn","stnUnitOrdr","stnOrdr"
133,681,7588,隼駅,はやぶさ,1716,4
443,26,7589,隼人駅,はやと,7368,28
445,26,7589,隼人駅,はやと,7368,28
446,26,7589,隼人駅,はやと,7368,28
440,25,7589,隼人駅,はやと,7368,104
444,25,7589,隼人駅,はやと,7368,104
445,25,7589,隼人駅,はやと,7368,104
446,25,7589,隼人駅,はやと,7368,104
131,338,7590,伴駅,とも,5948,18
131,338,7591,伴中央駅,ともちゅうおう,6319,20
137,38,7592,半家駅,はげ,2783,7
139,38,7592,半家駅,はげ,2783,7
85,330764,7593,八坂駅（岐阜県）,やさか,6169,18
41,110774,7594,半蔵門駅,はんぞうもん,4149,10
81,340114,7595,半田駅,はんだ,1042,3
81,340862,7596,半田口駅,はんだぐち,4195,10
41,120790,7597,反町駅,たんまち,6521,20
42,120790,7597,反町駅,たんまち,6521,20
44,140809,7598,板荷駅,いたが,6671,21
45,140809,7598,板荷駅,いたが,6671,21
46,140809,7598,板荷駅,いたが,6671,21
41,140139,7599,板橋駅,いたばし,2430,6
44,140139,7599,板橋駅,いたばし,2430,6
41,110793,7600,板橋区役所前駅,いたばしくやくしょまえ,6179,18
41,110793,7601,板橋本町駅,いたばしほんちょう,6358,19
135,90,7602,板持駅,いたもち,4273,11
62,220675,7603,板宿駅,いたやど,751,2
62,220703,7603,板宿駅,いたやど,751,9
44,140809,7604,板倉東洋大前駅,いたくらとうようだいまえ,3465,8
45,140809,7604,板倉東洋大前駅,いたくらとうようだいまえ,3465,8
46,140809,7604,板倉東洋大前駅,いたくらとうようだいまえ,3465,8
107,122,7605,板谷駅,いたや,1979,5
108,122,7605,板谷駅,いたや,1979,5
110,122,7605,板谷駅,いたや,1979,5
111,122,7605,板谷駅,いたや,1979,5
136,28,7606,板東駅,ばんどう,6966,24
138,28,7606,板東駅,ばんどう,6966,24
136,28,7607,板野駅,いたの,6703,22
138,28,7607,板野駅,いたの,6703,22
110,134,7608,板柳駅,いたやなぎ,8056,40
111,134,7608,板柳駅,いたやなぎ,8056,40
136,29,7609,繁藤駅,しげとう,6967,24
138,29,7609,繁藤駅,しげとう,6967,24
139,29,7609,繁藤駅,しげとう,6967,24
62,240066,7610,飯井駅,いい,9082,137
63,240066,7610,飯井駅,いい,9082,137
133,240066,7610,飯井駅,いい,9082,137
134,240066,7610,飯井駅,いい,9082,137
135,240066,7610,飯井駅,いい,9082,137
85,330887,7611,飯羽間駅,いいばま,2306,5
62,240066,7612,飯浦駅,いいのうら,9059,125
63,240066,7612,飯浦駅,いいのうら,9059,125
133,240066,7612,飯浦駅,いいのうら,9059,125
134,240066,7612,飯浦駅,いいのうら,9059,125
135,240066,7612,飯浦駅,いいのうら,9059,125
41,150168,7613,飯岡駅,いいおか,7979,38
43,150168,7613,飯岡駅,いいおか,7979,38
107,122,7614,飯詰駅,いいづめ,8397,54
108,122,7614,飯詰駅,いいづめ,8397,54
110,122,7614,飯詰駅,いいづめ,8397,54
111,122,7614,飯詰駅,いいづめ,8397,54
43,150689,7615,飯給駅,いたぶ,5280,14
107,838,7616,飯坂温泉駅,いいざかおんせん,4791,12
116,198,7617,飯山駅,いいやま,2885,7
117,198,7617,飯山駅,いいやま,2885,7
43,150811,7618,飯山満駅,はさま,1349,3
85,330887,7619,飯沼駅,いいぬま,1404,3
116,170,7620,飯森駅,いいもり,7477,29
117,170,7620,飯森駅,いいもり,7477,29
41,150168,7621,飯倉駅,いいぐら,7780,34
43,150168,7621,飯倉駅,いいぐら,7780,34
440,18,7622,飯塚駅,いいづか,6217,19
81,340113,7624,飯田駅（長野県）,いいだ,8522,60
116,340113,7624,飯田駅（長野県）,いいだ,8522,60
600,340113,7624,飯田駅（長野県）,いいだ,8522,60
42,120247,7625,飯田岡駅,いいだおか,2498,6
41,110772,7626,飯田橋駅,いいだばし,2015,10
41,110771,7626,飯田橋駅,いいだばし,2015,6
43,110771,7626,飯田橋駅,いいだばし,2015,6
41,150169,7626,飯田橋駅,いいだばし,2015,16
43,150169,7626,飯田橋駅,いいだばし,2015,16
41,110792,7626,飯田橋駅,いいだばし,2015,7
41,110775,7626,飯田橋駅,いいだばし,2015,13
44,110775,7626,飯田橋駅,いいだばし,2015,13
41,110176,7626,飯田橋駅,いいだばし,2015,5
42,110176,7626,飯田橋駅,いいだばし,2015,5
81,110176,7626,飯田橋駅,いいだばし,2015,5
85,110176,7626,飯田橋駅,いいだばし,2015,5
116,110176,7626,飯田橋駅,いいだばし,2015,5
118,110176,7626,飯田橋駅,いいだばし,2015,5
81,340113,7627,飯島駅,いいじま,8708,74
116,340113,7627,飯島駅,いいじま,8708,74
600,340113,7627,飯島駅,いいじま,8708,74
41,130725,7628,飯能駅,はんのう,309,26
44,130725,7628,飯能駅,はんのう,309,26
44,140726,7628,飯能駅,はんのう,309,1
101,215,7629,晩生内駅,おそきない,6763,22
42,120167,7630,番田駅（神奈川県）,ばんだ,5444,15
124,1010,7631,番田駅（福井県）,ばんでん,6207,19
61,250324,7632,磐城駅,いわき,6782,22
65,250324,7632,磐城駅,いわき,6782,22
47,910157,7633,磐城守山駅,いわきもりやま,8191,44
107,910157,7633,磐城守山駅,いわきもりやま,8191,44
107,200,7634,磐城常葉駅,いわきときわ,4331,11
47,910157,7635,磐城石井駅,いわきいしい,7546,30
107,910157,7635,磐城石井駅,いわきいしい,7546,30
47,910157,7636,磐城石川駅,いわきいしかわ,7934,37
107,910157,7636,磐城石川駅,いわきいしかわ,7934,37
106,129,9725,志津川中央団地駅,しづがわちゅうおうだんち,9175,11
442,7571,9726,浜町アーケード駅,はまのまちあーけーど,9177,7
